Year,LEA Name,INDIAN Male,INDIAN Female,ASIAN Male,ASIAN Female,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,PACIFIC ISLAND  Male,PACIFIC ISLAND  Female,TWO OR MORE Male,TWO OR MOREFemale,Total
2014,Alamance-Burlington Schools,046,051,158,141,2657,2600,2462,2297,5897,5423,018,012,422,431,22615
2014,Alexander County Schools,004,007,051,050,213,212,107,100,2232,2121,000,001,102,090,5290
2014,Alleghany County Schools,002,002,001,002,154,147,008,003,551,572,000,000,013,016,1471
2014,Anson County Schools,008,005,029,025,057,066,1030,1046,623,620,000,000,046,047,3602
2014,Ashe County Schools,000,003,010,007,165,133,009,007,1411,1372,000,000,028,029,3174
2014,Asheboro City Schools,006,009,033,041,980,934,351,342,911,938,000,003,077,099,4724
2014,Asheville City Schools,005,003,018,036,135,161,511,484,1317,1257,005,002,162,134,4230
2014,Avery County Schools,000,002,004,008,108,109,003,003,934,941,001,001,018,023,2155
2014,Beaufort County Schools,007,003,007,010,495,492,1201,1118,1799,1638,002,002,128,128,7030
2014,Bertie County Schools,007,005,004,002,026,027,1075,1049,208,187,001,001,021,019,2632
2014,Bladen County Schools,026,035,003,004,374,359,947,898,975,895,002,000,103,104,4725
2014,Brunswick County Schools,059,055,042,038,697,696,1005,932,4365,4033,005,006,275,262,12470
2014,Buncombe County Schools,052,033,159,216,1758,1705,840,813,9703,9067,033,030,594,527,25530
2014,Burke County Schools,009,011,463,367,737,703,362,299,4826,4448,005,004,288,288,12810
2014,Cabarrus County Schools,065,052,439,420,2131,2097,2881,2870,9315,8638,015,024,585,561,30093
2014,Caldwell County Schools,004,006,042,046,574,494,334,339,4985,4853,001,000,269,224,12171
2014,Camden County Schools,003,003,014,012,021,025,129,099,794,717,001,001,039,045,1903
2014,Carteret County Schools,016,023,039,040,323,290,304,269,3439,3216,006,009,246,208,8428
2014,Caswell County Schools,004,003,003,005,091,080,493,496,812,660,000,000,048,053,2748
2014,Catawba County Schools,012,016,575,556,1143,1123,454,439,6092,5719,006,005,360,382,16882
2014,Chapel-Hill/Carrboro City Schools,029,028,950,876,911,841,721,651,3321,3068,003,006,401,360,12166
2014,Charlotte-Mecklenburg County Schools,332,330,3983,3877,14260,13564,29894,29072,22314,21715,072,078,1750,1750,142991
2014,Chatham County Schools,013,007,041,043,1245,1157,503,498,2244,2131,001,000,171,175,8229
2014,Cherokee County Schools,017,025,012,010,072,073,026,025,1588,1394,000,000,039,047,3328
2014,Clay County Schools,002,003,000,004,035,024,008,002,636,589,001,001,008,006,1319
2014,Cleveland County Schools,006,010,058,064,385,361,1972,1950,5085,4560,002,001,344,340,15138
2014,Clinton City Schools,042,048,010,019,329,324,622,572,500,477,000,000,057,055,3055
2014,Columbus County Schools,156,195,002,002,281,250,944,968,1646,1574,001,002,046,052,6119
2014,Craven County Schools,024,024,277,280,627,650,2133,2109,3909,3652,019,015,333,397,14449
2014,Cumberland County Schools,497,468,474,450,3000,2860,11873,11341,8670,7926,104,115,1825,1868,51471
2014,Currituck County Schools,006,004,006,013,077,098,118,105,1560,1555,000,003,180,179,3904
2014,Dare County Schools,004,005,019,024,317,311,064,073,2042,1982,000,000,091,091,5023
2014,Davidson County Schools,035,042,105,124,737,642,349,290,8841,8282,006,004,238,202,19897
2014,Davie County Schools,003,012,010,034,395,401,173,178,2607,2335,001,001,116,138,6404
2014,Duplin County Schools,043,037,014,016,1922,1666,1178,1147,1737,1652,008,008,109,110,9647
2014,Durham County Schools,083,082,441,380,4268,4172,8287,8260,3244,3025,018,018,534,537,33349
2014,Edenton-Chowan County Schools,005,001,005,006,051,060,482,486,550,507,000,000,034,038,2225
2014,Edgecombe County Schools,001,006,001,007,321,264,1801,1759,960,875,001,002,053,065,6116
2014,Elkin City Schools,001,000,002,005,109,112,028,019,462,442,000,000,026,015,1221
2014,Forsyth County Schools,058,076,573,654,6033,5831,7922,7366,11684,10975,028,026,1088,1099,53413
2014,Franklin County Schools,019,018,013,023,662,637,1370,1356,2279,2031,001,006,134,139,8688
2014,Gaston County Schools,038,028,233,228,1614,1514,3286,3123,10304,9646,009,008,647,590,31268
2014,Gates County Schools,002,003,001,000,013,015,303,294,517,452,001,001,033,025,1660
2014,Graham County Schools,098,083,001,000,019,015,003,000,505,457,000,000,006,001,1188
2014,Granville County Schools,008,016,020,015,552,541,1421,1279,2103,1834,001,000,187,176,8153
2014,Greene County Schools,007,009,003,000,473,429,604,611,501,465,000,002,030,017,3151
2014,Guilford County Schools,183,205,2115,2021,4625,4475,14881,14735,13472,12528,063,065,1366,1378,72112
2014,Halifax County Schools,109,084,006,001,041,053,1407,1338,090,064,001,002,031,023,3250
2014,Harnett County Schools,115,112,062,066,1847,1816,2564,2386,5201,4880,022,024,606,542,20243
2014,Haywood County Schools,031,029,012,026,263,245,041,044,3526,3057,001,002,081,075,7433
2014,Henderson County Schools,011,011,082,081,1422,1311,260,262,4887,4641,021,028,258,237,13512
2014,Hertford County Schools,005,015,014,006,043,042,1208,1217,270,201,000,001,023,015,3060
2014,Hickory City Schools,004,001,082,089,469,422,500,431,1024,975,001,002,133,148,4281
2014,Hoke County Schools,415,440,042,031,755,713,1560,1494,1180,1097,002,005,251,255,8240
2014,Hyde County Schools,000,000,000,000,044,050,076,072,183,144,000,002,012,009,592
2014,Iredell-Statesville Schools,023,019,266,313,1201,1182,1504,1435,7538,6885,006,012,257,295,20936
2014,Jackson County Schools,159,167,024,029,208,176,025,018,1478,1316,001,005,035,036,3677
2014,Johnston County Schools,079,070,102,106,3566,3329,2804,2600,10421,9633,019,010,575,570,33884
2014,Jones County Schools,002,001,001,002,047,050,249,222,278,238,000,000,015,010,1115
2014,Kannapolis City Schools,011,017,042,038,692,636,781,710,1030,1031,003,001,167,151,5310
2014,Lee County Schools,035,037,030,043,1582,1579,1101,1026,2160,2037,009,006,162,166,9973
2014,Lenoir County Schools,011,009,030,034,535,525,2251,2040,1776,1710,003,001,133,101,9159
2014,Lexington City Schools,012,007,081,061,499,481,469,471,402,371,003,003,105,099,3064
2014,Lincoln County Schools,007,008,045,036,603,613,357,338,4843,4373,001,004,190,167,11585
2014,Macon County Schools,008,012,022,013,320,300,017,017,1818,1701,002,001,054,066,4351
2014,Madison County Schools,006,007,002,009,051,031,003,006,1238,1119,001,000,013,013,2499
2014,Martin County Schools,004,002,016,008,114,084,871,881,691,645,000,000,041,035,3392
2014,McDowell County Schools,014,011,032,027,367,333,099,094,2644,2482,003,001,122,119,6348
2014,Mitchell County Schools,000,001,003,011,084,082,003,000,935,810,000,001,008,021,1959
2014,Montgomery County Schools,004,002,035,040,678,636,428,417,906,900,002,009,044,040,4141
2014,Moore County Schools,079,067,073,072,792,757,1178,1078,4357,4047,007,005,214,181,12907
2014,Mooresville City Schools,000,006,064,068,272,236,447,392,2159,1933,005,005,151,125,5863
2014,Mount Airy City Schools,000,000,012,013,159,129,075,085,585,558,000,000,037,038,1691
2014,Nash-Rocky Mount Schools,039,047,064,068,861,794,4064,3957,2909,2571,007,006,311,340,16038
2014,New Hanover County Schools,057,043,214,206,1315,1293,2873,2729,8066,7627,027,011,491,474,25426
2014,Newton-Conover City Schools,003,002,092,077,367,355,248,190,802,767,000,000,074,099,3076
2014,Northampton County Schools,003,009,004,002,043,022,837,770,180,143,000,000,018,022,2053
2014,Onslow County Schools,082,069,149,136,1518,1414,2552,2283,7682,7348,058,046,899,925,25161
2014,Orange County Schools,009,012,018,038,629,631,603,572,2480,2264,001,000,147,174,7578
2014,Pamlico County Schools,005,004,002,004,034,042,153,139,423,407,000,000,035,030,1278
2014,Pasquotank County Schools,009,013,031,018,160,148,1264,1228,1314,1241,006,004,121,131,5688
2014,Pender County Schools,029,012,023,028,522,488,699,741,3073,2878,004,004,123,123,8747
2014,Perquimans County Schools,002,001,003,002,020,026,270,272,566,569,000,000,028,023,1782
2014,Person County Schools,015,013,006,003,188,198,839,777,1237,1106,001,002,108,103,4596
2014,Pitt County Schools,026,021,157,165,1213,1157,5693,5536,4658,4193,006,003,405,389,23622
2014,Polk County Schools,003,001,004,003,139,139,074,057,896,875,000,000,037,041,2269
2014,Randolph County Schools,051,056,122,120,1409,1323,348,315,7217,6626,001,003,268,240,18099
2014,Richmond County Schools,165,140,026,028,370,357,1425,1372,1785,1657,004,005,140,153,7627
2014,Roanoke Rapids City Schools,004,004,032,025,059,062,356,365,1025,936,000,004,049,064,2985
2014,Robeson County Schools,5084,4952,100,079,1611,1505,3069,2903,1780,1680,008,016,408,391,23586
2014,Rockingham County Schools,023,020,032,033,799,718,1344,1242,4263,3979,002,009,317,340,13121
2014,Rowan-Salisbury County Schools,032,037,102,124,1404,1316,1954,1750,6418,6037,011,011,311,324,19831
2014,Rutherford County Schools,013,017,021,020,281,276,552,504,3264,3028,000,001,280,277,8534
2014,Sampson County Schools,034,042,009,011,1478,1394,910,804,1834,1745,004,006,154,158,8583
2014,Scotland County Schools,458,470,029,030,074,074,1477,1311,975,922,002,003,124,119,6068
2014,Stanly County Schools,013,008,142,141,294,310,536,549,3290,2996,002,002,194,181,8658
2014,Stokes County Schools,010,007,010,013,146,140,118,089,2936,2826,002,003,110,102,6512
2014,Surry County Schools,007,005,019,017,859,860,099,085,3179,3024,003,005,090,076,8328
2014,Swain County Schools,252,223,003,007,037,041,020,009,700,627,001,001,054,041,2016
2014,Thomasville City Schools,010,014,013,015,336,358,439,429,288,293,003,001,065,077,2341
2014,Transylvania County Schools,006,005,008,016,112,100,079,096,1494,1421,004,006,079,094,3520
2014,Tyrrell County Schools,000,000,009,007,040,043,091,090,126,107,000,001,013,018,545
2014,Union County Schools,064,041,462,463,3136,3033,2740,2521,14266,13342,012,008,537,491,41116
2014,Vance County Schools,004,008,022,017,431,429,2083,1994,779,653,001,001,086,083,6591
2014,Wake County Schools,283,241,5223,5202,12245,11790,18984,18497,38430,36213,080,093,3117,3147,153545
2014,Warren County Schools,066,092,004,006,093,078,805,790,206,202,000,000,021,020,2383
2014,Washington County Schools,000,000,002,005,068,060,608,548,179,169,000,000,009,022,1670
2014,Watauga County Schools,003,003,016,031,164,155,038,019,1921,1834,002,001,076,062,4325
2014,Wayne County Schools,017,013,137,128,1819,1734,3446,3269,4073,3633,009,013,474,456,19221
2014,Weldon City Schools,000,004,004,001,002,004,494,490,012,015,000,000,007,006,1039
2014,Whiteville City Schools,016,017,006,003,089,106,504,472,480,469,000,001,059,040,2262
2014,Wilkes County Schools,010,010,017,012,642,656,211,204,4030,3810,001,002,154,143,9902
2014,Wilson County Schools,015,013,080,074,996,962,2866,2767,2202,2085,004,000,167,156,12387
2014,Yadkin County Schools,012,002,010,010,608,575,086,075,2101,1882,001,007,054,060,5483
2014,Yancey County Schools,004,001,001,004,150,114,010,005,1075,924,000,000,017,013,2318
2015,Alamance-Burlington Schools,051,056,165,158,2758,2712,2540,2318,5760,5270,018,012,432,458,22708
2015,Alexander County Schools,003,005,048,050,228,211,111,099,2160,2067,001,001,107,087,5178
2015,Alleghany County Schools,002,004,001,002,148,141,006,002,548,533,000,000,008,014,1409
2015,Anson County Schools,007,005,028,030,065,071,1004,1001,616,611,000,000,047,041,3526
2015,Ashe County Schools,000,002,009,007,160,128,009,006,1406,1382,000,000,016,019,3144
2015,Asheboro City Schools,003,006,037,047,1076,968,343,307,899,882,000,000,079,106,4753
2015,Asheville City Schools,005,002,022,030,151,183,522,506,1357,1295,004,002,153,129,4361
2015,Avery County Schools,002,002,003,009,109,110,004,008,924,903,001,001,017,015,2108
2015,Beaufort County Schools,011,005,014,011,521,518,1206,1109,1745,1634,003,003,124,114,7018
2015,Bertie County Schools,007,005,002,002,027,027,1017,959,188,172,001,001,014,012,2434
2015,Bladen County Schools,031,034,005,004,400,403,913,877,951,887,000,000,100,096,4701
2015,Brunswick County Schools,059,052,047,037,744,702,998,945,4375,4045,008,007,255,231,12505
2015,Buncombe County Schools,051,033,162,195,1873,1762,857,807,9353,8859,039,031,523,459,25004
2015,Burke County Schools,009,010,454,349,814,750,334,280,4693,4334,005,004,295,281,12612
2015,Cabarrus County Schools,072,066,488,483,2304,2238,3025,3005,9299,8562,015,030,586,550,30723
2015,Caldwell County Schools,005,005,037,044,573,546,319,333,4882,4801,001,000,263,224,12033
2015,Camden County Schools,003,003,011,012,026,033,121,098,773,726,001,002,050,042,1901
2015,Carteret County Schools,018,025,045,050,344,327,301,260,3409,3189,010,011,234,215,8438
2015,Caswell County Schools,005,005,002,004,094,076,525,507,798,655,000,000,036,048,2755
2015,Catawba County Schools,011,016,547,546,1238,1147,463,442,5984,5604,003,004,327,369,16701
2015,Chapel-Hill/Carrboro City Schools,021,024,909,923,941,876,681,645,3292,3033,002,004,398,341,12090
2015,Charlotte-Mecklenburg County Schools,339,345,4234,4103,15690,14779,29907,28893,22076,21456,073,086,1710,1672,145363
2015,Chatham County Schools,015,008,043,044,1318,1209,517,513,2227,2161,001,000,172,160,8388
2015,Cherokee County Schools,017,021,012,012,070,076,023,029,1568,1376,000,000,036,044,3284
2015,Clay County Schools,003,002,000,005,034,029,007,004,637,561,001,000,009,007,1299
2015,Cleveland County Schools,004,009,053,062,396,396,2022,1979,5027,4545,002,000,341,333,15169
2015,Clinton City Schools,045,051,011,017,362,380,606,562,468,447,001,000,045,065,3060
2015,Columbus County Schools,141,191,003,002,297,275,925,967,1629,1537,001,002,037,047,6054
2015,Craven County Schools,019,022,286,291,631,685,2146,2053,3872,3577,023,019,336,381,14341
2015,Cumberland County Schools,477,468,468,461,3087,2948,11779,11228,8359,7707,119,118,1782,1797,50798
2015,Currituck County Schools,004,003,006,012,081,110,114,105,1567,1560,000,004,159,153,3878
2015,Dare County Schools,005,005,021,024,333,317,056,064,2015,1960,001,003,090,084,4978
2015,Davidson County Schools,030,042,111,131,790,699,358,314,8681,8138,005,006,215,197,19717
2015,Davie County Schools,004,011,013,037,404,401,180,186,2598,2258,001,002,121,122,6338
2015,Duplin County Schools,035,033,012,015,1990,1809,1189,1138,1735,1676,010,009,079,093,9823
2015,Durham County Schools,079,065,435,374,4670,4499,8205,8121,3245,2986,017,017,458,476,33647
2015,Edenton-Chowan County Schools,004,000,005,006,053,069,480,477,542,500,001,000,034,035,2206
2015,Edgecombe County Schools,001,006,001,004,324,266,1739,1619,908,884,001,003,057,052,5865
2015,Elkin City Schools,000,000,003,005,108,108,033,020,466,445,000,000,028,014,1230
2015,Forsyth County Schools,061,067,614,659,6505,6191,8023,7425,11461,10940,031,022,1045,1031,54075
2015,Franklin County Schools,017,017,014,026,703,675,1352,1322,2242,1988,001,005,131,139,8632
2015,Gaston County Schools,038,028,244,228,1756,1665,3381,3211,10208,9400,009,012,652,595,31427
2015,Gates County Schools,002,006,001,000,011,012,298,302,504,461,001,001,033,025,1657
2015,Graham County Schools,099,080,001,000,023,019,004,001,501,446,000,000,006,003,1183
2015,Granville County Schools,007,016,026,018,578,581,1419,1291,2039,1783,001,001,149,159,8068
2015,Greene County Schools,006,007,003,002,490,443,599,618,494,469,000,001,028,021,3181
2015,Guilford County Schools,171,201,2155,2027,4949,4773,14831,14676,13110,12190,068,064,1373,1396,71984
2015,Halifax County Schools,096,077,004,000,048,062,1288,1245,081,050,005,002,019,011,2988
2015,Harnett County Schools,124,104,060,068,1948,1893,2639,2405,5227,4796,026,029,548,500,20367
2015,Haywood County Schools,033,029,012,031,286,276,042,039,3580,2911,001,003,076,060,7379
2015,Henderson County Schools,012,011,076,087,1574,1435,263,250,4864,4597,034,032,251,257,13743
